Time,THERMAL ZONE 1:COPENHAGEN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:MUMBAI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:COPENHAGEN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:MUMBAI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:COPENHAGEN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:MUMBAI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:COPENHAGEN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:MUMBAI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:COPENHAGEN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:MUMBAI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:COPENHAGEN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:MUMBAI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:COPENHAGEN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:MUMBAI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:COPENHAGEN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:MUMBAI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.748929E+04,3.452995E+03,9.025447E-01,2.664125E-01,3.614728E+04,1.336520E+04,1.865391E+00,1.031259E+00,3.803548E+04,1.477710E+04,1.962832E+00,1.140182E+00,4.907639E+04,1.706308E+04,2.532082E+00,1.316687E+00
00:20:00,1.748931E+04,3.437535E+03,9.025456E-01,2.652200E-01,3.614733E+04,1.330961E+04,1.865393E+00,1.026963E+00,3.803554E+04,1.472275E+04,1.962835E+00,1.135983E+00,4.907648E+04,1.698605E+04,2.532086E+00,1.310741E+00
00:30:00,1.748933E+04,3.414645E+03,9.025464E-01,2.634538E-01,3.614737E+04,1.325345E+04,1.865395E+00,1.022626E+00,3.803559E+04,1.466608E+04,1.962838E+00,1.131606E+00,4.907656E+04,1.690385E+04,2.532090E+00,1.304397E+00
00:40:00,1.748934E+04,3.386426E+03,9.025472E-01,2.612763E-01,3.614742E+04,1.319727E+04,1.865398E+00,1.018287E+00,3.803565E+04,1.460806E+04,1.962841E+00,1.127125E+00,4.907663E+04,1.681814E+04,2.532094E+00,1.297780E+00
00:50:00,1.748936E+04,3.354602E+03,9.025480E-01,2.588207E-01,3.614746E+04,1.314140E+04,1.865400E+00,1.013972E+00,3.803570E+04,1.454932E+04,1.962844E+00,1.122588E+00,4.907671E+04,1.673009E+04,2.532098E+00,1.290982E+00
01:00:00,1.748937E+04,3.320256E+03,9.025487E-01,2.561704E-01,3.614750E+04,1.308604E+04,1.865402E+00,1.009696E+00,3.803575E+04,1.449029E+04,1.962846E+00,1.118030E+00,4.907678E+04,1.664058E+04,2.532102E+00,1.284072E+00
01:10:00,1.748938E+04,3.311323E+03,9.025495E-01,2.554809E-01,3.614754E+04,1.305830E+04,1.865404E+00,1.007552E+00,3.803581E+04,1.445839E+04,1.962849E+00,1.115565E+00,4.907685E+04,1.657760E+04,2.532106E+00,1.279209E+00
01:20:00,1.748940E+04,3.301632E+03,9.025501E-01,2.547330E-01,3.614758E+04,1.303194E+04,1.865406E+00,1.005514E+00,3.803586E+04,1.442756E+04,1.962852E+00,1.113182E+00,4.907692E+04,1.651547E+04,2.532109E+00,1.274412E+00
01:30:00,1.748941E+04,3.291369E+03,9.025508E-01,2.539409E-01,3.614762E+04,1.300692E+04,1.865408E+00,1.003581E+00,3.803591E+04,1.439781E+04,1.962854E+00,1.110883E+00,4.907699E+04,1.645453E+04,2.532113E+00,1.269706E+00
01:40:00,1.748942E+04,3.280680E+03,9.025514E-01,2.531159E-01,3.614766E+04,1.298325E+04,1.865410E+00,1.001752E+00,3.803595E+04,1.436921E+04,1.962857E+00,1.108675E+00,4.907705E+04,1.639504E+04,2.532116E+00,1.265115E+00
01:50:00,1.748943E+04,3.269750E+03,9.025520E-01,2.522725E-01,3.614769E+04,1.296097E+04,1.865412E+00,1.000031E+00,3.803600E+04,1.434188E+04,1.962859E+00,1.106564E+00,4.907712E+04,1.633728E+04,2.532119E+00,1.260656E+00
02:00:00,1.748945E+04,3.258732E+03,9.025526E-01,2.514222E-01,3.614773E+04,1.294011E+04,1.865414E+00,9.984201E-01,3.803605E+04,1.431589E+04,1.962862E+00,1.104558E+00,4.907718E+04,1.628144E+04,2.532123E+00,1.256347E+00
02:10:00,1.748946E+04,3.247520E+03,9.025532E-01,2.505570E-01,3.614776E+04,1.292031E+04,1.865415E+00,9.968917E-01,3.803609E+04,1.429091E+04,1.962864E+00,1.102630E+00,4.907724E+04,1.622685E+04,2.532126E+00,1.252134E+00
02:20:00,1.748947E+04,3.236229E+03,9.025537E-01,2.496857E-01,3.614780E+04,1.290128E+04,1.865417E+00,9.954232E-01,3.803613E+04,1.426663E+04,1.962866E+00,1.100755E+00,4.907730E+04,1.617336E+04,2.532129E+00,1.248006E+00
02:30:00,1.748948E+04,3.224950E+03,9.025542E-01,2.488154E-01,3.614783E+04,1.288302E+04,1.865419E+00,9.940134E-01,3.803618E+04,1.424303E+04,1.962868E+00,1.098934E+00,4.907736E+04,1.612106E+04,2.532132E+00,1.243971E+00
02:40:00,1.748949E+04,3.213757E+03,9.025548E-01,2.479517E-01,3.614786E+04,1.286551E+04,1.865421E+00,9.926623E-01,3.803622E+04,1.422013E+04,1.962870E+00,1.097167E+00,4.907741E+04,1.606998E+04,2.532134E+00,1.240029E+00
02:50:00,1.748950E+04,3.202709E+03,9.025552E-01,2.470992E-01,3.614789E+04,1.284877E+04,1.865422E+00,9.913699E-01,3.803626E+04,1.419795E+04,1.962873E+00,1.095456E+00,4.907746E+04,1.602020E+04,2.532137E+00,1.236188E+00
03:00:00,1.748951E+04,3.191852E+03,9.025557E-01,2.462614E-01,3.614792E+04,1.283278E+04,1.865424E+00,9.901363E-01,3.803630E+04,1.417650E+04,1.962875E+00,1.093801E+00,4.907752E+04,1.597174E+04,2.532140E+00,1.232449E+00
03:10:00,1.748952E+04,3.180986E+03,9.025562E-01,2.454230E-01,3.614795E+04,1.281662E+04,1.865425E+00,9.888896E-01,3.803634E+04,1.415477E+04,1.962877E+00,1.092124E+00,4.907757E+04,1.592343E+04,2.532143E+00,1.228720E+00
03:20:00,1.748952E+04,3.170143E+03,9.025566E-01,2.445863E-01,3.614798E+04,1.280051E+04,1.865427E+00,9.876464E-01,3.803638E+04,1.413297E+04,1.962879E+00,1.090443E+00,4.907762E+04,1.587539E+04,2.532145E+00,1.225013E+00
03:30:00,1.748953E+04,3.159341E+03,9.025571E-01,2.437529E-01,3.614801E+04,1.278443E+04,1.865428E+00,9.864057E-01,3.803641E+04,1.411111E+04,1.962880E+00,1.088756E+00,4.907767E+04,1.582761E+04,2.532148E+00,1.221326E+00
03:40:00,1.748954E+04,3.148590E+03,9.025575E-01,2.429233E-01,3.614804E+04,1.276837E+04,1.865430E+00,9.851665E-01,3.803645E+04,1.408918E+04,1.962882E+00,1.087063E+00,4.907771E+04,1.578007E+04,2.532150E+00,1.217659E+00
03:50:00,1.748955E+04,3.137890E+03,9.025579E-01,2.420977E-01,3.614807E+04,1.275232E+04,1.865431E+00,9.839279E-01,3.803648E+04,1.406716E+04,1.962884E+00,1.085364E+00,4.907776E+04,1.573278E+04,2.532152E+00,1.214009E+00
04:00:00,1.748956E+04,3.127237E+03,9.025583E-01,2.412757E-01,3.614809E+04,1.273668E+04,1.865433E+00,9.827211E-01,3.803652E+04,1.404567E+04,1.962886E+00,1.083706E+00,4.907780E+04,1.568650E+04,2.532155E+00,1.210438E+00
04:10:00,1.748956E+04,3.116927E+03,9.025587E-01,2.404803E-01,3.614812E+04,1.272260E+04,1.865434E+00,9.816347E-01,3.803655E+04,1.402627E+04,1.962888E+00,1.082209E+00,4.907785E+04,1.564291E+04,2.532157E+00,1.207075E+00
04:20:00,1.748957E+04,3.106975E+03,9.025591E-01,2.397124E-01,3.614815E+04,1.271135E+04,1.865435E+00,9.807665E-01,3.803659E+04,1.401094E+04,1.962889E+00,1.081027E+00,4.907789E+04,1.560402E+04,2.532159E+00,1.204074E+00
04:30:00,1.748958E+04,3.097416E+03,9.025595E-01,2.389749E-01,3.614817E+04,1.270555E+04,1.865436E+00,9.803193E-01,3.803662E+04,1.400378E+04,1.962891E+00,1.080474E+00,4.907793E+04,1.557356E+04,2.532161E+00,1.201724E+00
04:40:00,1.748959E+04,3.088528E+03,9.025598E-01,2.382890E-01,3.614819E+04,1.271112E+04,1.865438E+00,9.807492E-01,3.803665E+04,1.401409E+04,1.962893E+00,1.081271E+00,4.907797E+04,1.556008E+04,2.532163E+00,1.200683E+00
