Time,THERMAL ZONE 1:MILAN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:MILAN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:MILAN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:MILAN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:MILAN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:MILAN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:MILAN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:MILAN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:MILAN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:MILAN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:MILAN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:MILAN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:MILAN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:MILAN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:MILAN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:MILAN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:MILAN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:MILAN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:MILAN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:MILAN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:MILAN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:MILAN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:MILAN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:MILAN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:MILAN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:MILAN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:MILAN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:MILAN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:MILAN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:MILAN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:MILAN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:MILAN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.595923E+04,6.140438E+02,1.339718E+00,4.738167E-02,2.737471E+04,1.113850E+04,1.412769E+00,8.594272E-01,2.807773E+04,1.254938E+04,1.449051E+00,9.682927E-01,4.350469E+04,1.265964E+04,2.244803E+00,9.768941E-01,1.192715E+04,0.000000E+00,6.152945E-01,0.000000E+00,1.144271E+04,0.000000E+00,5.903032E-01,0.000000E+00,1.167183E+04,0.000000E+00,6.021226E-01,0.000000E+00,1.569670E+04,1.904082E+02,8.096557E-01,1.469002E-02
00:20:00,2.595923E+04,5.775023E+02,1.339718E+00,4.455377E-02,2.737472E+04,1.108791E+04,1.412770E+00,8.555190E-01,2.807775E+04,1.250276E+04,1.449053E+00,9.646901E-01,4.350474E+04,1.255415E+04,2.244805E+00,9.687527E-01,1.192715E+04,0.000000E+00,6.152946E-01,0.000000E+00,1.144271E+04,0.000000E+00,5.903033E-01,0.000000E+00,1.167183E+04,0.000000E+00,6.021229E-01,0.000000E+00,1.569672E+04,1.681605E+02,8.096565E-01,1.297364E-02
00:30:00,2.595923E+04,5.698118E+02,1.339719E+00,4.396041E-02,2.737473E+04,1.103562E+04,1.412770E+00,8.514798E-01,2.807777E+04,1.245380E+04,1.449054E+00,9.609067E-01,4.350479E+04,1.244626E+04,2.244808E+00,9.604262E-01,1.192715E+04,0.000000E+00,6.152946E-01,0.000000E+00,1.144271E+04,0.000000E+00,5.903033E-01,0.000000E+00,1.167184E+04,0.000000E+00,6.021231E-01,0.000000E+00,1.569673E+04,1.429564E+02,8.096571E-01,1.102911E-02
00:40:00,2.595923E+04,5.358864E+02,1.339719E+00,4.134311E-02,2.737474E+04,1.098239E+04,1.412771E+00,8.473685E-01,2.807779E+04,1.240326E+04,1.449055E+00,9.570026E-01,4.350483E+04,1.233703E+04,2.244810E+00,9.519958E-01,1.192716E+04,0.000000E+00,6.152947E-01,0.000000E+00,1.144271E+04,0.000000E+00,5.903034E-01,0.000000E+00,1.167184E+04,0.000000E+00,6.021233E-01,0.000000E+00,1.569674E+04,1.153520E+02,8.096578E-01,8.899402E-03
00:50:00,2.595923E+04,4.914469E+02,1.339719E+00,3.791462E-02,2.737474E+04,1.092876E+04,1.412771E+00,8.432272E-01,2.807781E+04,1.235178E+04,1.449056E+00,9.530258E-01,4.350487E+04,1.222746E+04,2.244812E+00,9.435393E-01,1.192716E+04,0.000000E+00,6.152948E-01,0.000000E+00,1.144271E+04,0.000000E+00,5.903034E-01,0.000000E+00,1.167184E+04,0.000000E+00,6.021235E-01,0.000000E+00,1.569675E+04,8.594395E+01,8.096584E-01,6.630553E-03
01:00:00,2.595923E+04,4.423011E+02,1.339718E+00,3.412304E-02,2.737475E+04,1.087512E+04,1.412772E+00,8.390849E-01,2.807783E+04,1.229981E+04,1.449056E+00,9.490120E-01,4.350491E+04,1.211836E+04,2.244814E+00,9.351184E-01,1.192716E+04,0.000000E+00,6.152948E-01,0.000000E+00,1.144271E+04,0.000000E+00,5.903034E-01,0.000000E+00,1.167185E+04,0.000000E+00,6.021237E-01,0.000000E+00,1.569676E+04,5.938475E+01,8.096590E-01,4.581504E-03
01:10:00,2.595924E+04,3.874672E+02,1.339719E+00,2.989263E-02,2.737479E+04,1.081850E+04,1.412774E+00,8.347127E-01,2.807788E+04,1.224428E+04,1.449059E+00,9.447231E-01,4.350499E+04,1.200746E+04,2.244818E+00,9.265586E-01,1.192716E+04,0.000000E+00,6.152949E-01,0.000000E+00,1.144272E+04,0.000000E+00,5.903037E-01,0.000000E+00,1.167186E+04,0.000000E+00,6.021242E-01,0.000000E+00,1.569678E+04,3.796456E+01,8.096598E-01,2.928938E-03
01:20:00,2.595925E+04,3.321887E+02,1.339720E+00,2.562793E-02,2.737482E+04,1.076356E+04,1.412775E+00,8.304703E-01,2.807792E+04,1.219003E+04,1.449061E+00,9.405338E-01,4.350506E+04,1.190010E+04,2.244822E+00,9.182712E-01,1.192716E+04,0.000000E+00,6.152951E-01,0.000000E+00,1.144272E+04,0.000000E+00,5.903040E-01,0.000000E+00,1.167186E+04,0.000000E+00,6.021246E-01,0.000000E+00,1.569680E+04,2.090453E+01,8.096607E-01,1.612764E-03
01:30:00,2.595926E+04,2.768766E+02,1.339720E+00,2.136064E-02,2.737486E+04,1.071022E+04,1.412777E+00,8.263520E-01,2.807797E+04,1.213706E+04,1.449064E+00,9.364433E-01,4.350514E+04,1.179664E+04,2.244826E+00,9.102863E-01,1.192717E+04,0.000000E+00,6.152952E-01,0.000000E+00,1.144273E+04,0.000000E+00,5.903043E-01,0.000000E+00,1.167187E+04,0.000000E+00,6.021250E-01,0.000000E+00,1.569681E+04,8.641750E+00,8.096615E-01,6.667000E-04
01:40:00,2.595928E+04,2.220847E+02,1.339721E+00,1.713350E-02,2.737489E+04,1.065861E+04,1.412779E+00,8.223669E-01,2.807802E+04,1.208552E+04,1.449066E+00,9.324638E-01,4.350521E+04,1.169769E+04,2.244829E+00,9.026489E-01,1.192717E+04,0.000000E+00,6.152953E-01,0.000000E+00,1.144273E+04,0.000000E+00,5.903045E-01,0.000000E+00,1.167188E+04,0.000000E+00,6.021254E-01,0.000000E+00,1.569683E+04,1.557428E+00,8.096623E-01,1.201530E-04
