Time,THERMAL ZONE 1:NEW_YORK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:NEW_YORK ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:NEW_YORK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:NEW_YORK ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:NEW_YORK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:NEW_YORK ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:NEW_YORK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:NEW_YORK ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:NEW_YORK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:NEW_YORK ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:NEW_YORK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:NEW_YORK ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:NEW_YORK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:NEW_YORK ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:NEW_YORK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:NEW_YORK ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:NEW_YORK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:NEW_YORK ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:NEW_YORK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:NEW_YORK ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:NEW_YORK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:NEW_YORK ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:NEW_YORK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:NEW_YORK ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:NEW_YORK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:NEW_YORK ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:NEW_YORK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:NEW_YORK ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:NEW_YORK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:NEW_YORK ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:NEW_YORK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:NEW_YORK ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:NEW_YORK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:NEW_YORK ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:NEW_YORK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:NEW_YORK ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.313875E+04,2.605790E+03,1.710290E+00,2.010444E-01,3.791640E+04,1.427311E+04,1.956865E+00,1.101298E+00,5.509534E+04,1.596412E+04,2.842925E+00,1.231905E+00,7.682552E+04,3.719629E+04,3.964193E+00,2.870197E+00,8.635418E+04,5.228832E+04,4.455869E+00,4.034901E+00,1.090204E+05,5.405151E+04,5.624507E+00,4.171646E+00,1.986885E+04,0.000000E+00,1.025285E+00,0.000000E+00,1.848091E+04,8.155522E+02,9.536653E-01,6.298206E-02,3.378368E+04,4.056795E+03,1.743053E+00,3.130083E-01
00:20:00,3.313876E+04,2.482367E+03,1.710290E+00,1.915190E-01,3.791644E+04,1.422095E+04,1.956867E+00,1.097264E+00,5.509541E+04,1.588711E+04,2.842929E+00,1.225960E+00,7.682552E+04,3.707626E+04,3.964192E+00,2.860946E+00,8.635423E+04,5.215339E+04,4.455872E+00,4.024501E+00,1.090205E+05,5.390047E+04,5.624511E+00,4.160017E+00,1.986883E+04,0.000000E+00,1.025284E+00,0.000000E+00,1.848090E+04,1.026513E+03,9.536650E-01,7.925779E-02,3.378370E+04,4.100481E+03,1.743055E+00,3.163805E-01
00:30:00,3.313876E+04,2.505897E+03,1.710290E+00,1.933340E-01,3.791648E+04,1.416830E+04,1.956869E+00,1.093192E+00,5.509548E+04,1.580908E+04,2.842932E+00,1.219937E+00,7.682551E+04,3.695299E+04,3.964192E+00,2.851441E+00,8.635427E+04,5.201877E+04,4.455874E+00,4.014120E+00,1.090205E+05,5.374934E+04,5.624515E+00,4.148370E+00,1.986881E+04,0.000000E+00,1.025283E+00,0.000000E+00,1.848090E+04,1.141091E+03,9.536647E-01,8.803550E-02,3.378372E+04,4.107286E+03,1.743056E+00,3.169075E-01
00:40:00,3.313876E+04,2.469007E+03,1.710291E+00,1.904880E-01,3.791651E+04,1.411537E+04,1.956870E+00,1.089100E+00,5.509555E+04,1.573044E+04,2.842936E+00,1.213865E+00,7.682551E+04,3.682767E+04,3.964192E+00,2.841776E+00,8.635431E+04,5.188458E+04,4.455876E+00,4.003769E+00,1.090206E+05,5.359861E+04,5.624519E+00,4.136746E+00,1.986879E+04,0.000000E+00,1.025282E+00,0.000000E+00,1.848089E+04,1.180505E+03,9.536643E-01,9.107630E-02,3.378375E+04,4.106842E+03,1.743057E+00,3.168746E-01
00:50:00,3.313877E+04,2.427246E+03,1.710291E+00,1.872659E-01,3.791654E+04,1.406229E+04,1.956872E+00,1.084998E+00,5.509561E+04,1.565174E+04,2.842939E+00,1.207790E+00,7.682550E+04,3.670134E+04,3.964192E+00,2.832031E+00,8.635434E+04,5.175101E+04,4.455878E+00,3.993463E+00,1.090207E+05,5.344934E+04,5.624523E+00,4.125231E+00,1.986877E+04,0.000000E+00,1.025280E+00,0.000000E+00,1.848088E+04,1.280996E+03,9.536639E-01,9.882951E-02,3.378377E+04,4.100246E+03,1.743058E+00,3.163669E-01
01:00:00,3.313877E+04,2.381846E+03,1.710291E+00,1.837630E-01,3.791657E+04,1.400915E+04,1.956874E+00,1.080891E+00,5.509567E+04,1.557352E+04,2.842943E+00,1.201751E+00,7.682550E+04,3.657476E+04,3.964192E+00,2.822265E+00,8.635438E+04,5.161822E+04,4.455880E+00,3.983216E+00,1.090208E+05,5.330216E+04,5.624526E+00,4.113874E+00,1.986874E+04,0.000000E+00,1.025279E+00,0.000000E+00,1.848088E+04,1.336465E+03,9.536635E-01,1.031093E-01,3.378379E+04,4.089015E+03,1.743059E+00,3.155012E-01
01:10:00,3.313878E+04,2.349730E+03,1.710291E+00,1.812851E-01,3.791662E+04,1.397073E+04,1.956876E+00,1.077921E+00,5.509575E+04,1.551099E+04,2.842946E+00,1.196923E+00,7.682552E+04,3.645578E+04,3.964192E+00,2.813084E+00,8.635444E+04,5.149330E+04,4.455883E+00,3.973575E+00,1.090208E+05,5.316088E+04,5.624531E+00,4.102972E+00,1.986875E+04,0.000000E+00,1.025280E+00,0.000000E+00,1.848091E+04,1.385239E+03,9.536651E-01,1.068726E-01,3.378384E+04,4.075724E+03,1.743062E+00,3.144765E-01
01:20:00,3.313879E+04,2.317492E+03,1.710292E+00,1.787978E-01,3.791666E+04,1.393341E+04,1.956878E+00,1.075035E+00,5.509582E+04,1.545129E+04,2.842950E+00,1.192313E+00,7.682553E+04,3.634088E+04,3.964193E+00,2.804218E+00,8.635450E+04,5.137233E+04,4.455886E+00,3.964240E+00,1.090209E+05,5.302155E+04,5.624535E+00,4.092215E+00,1.986876E+04,0.000000E+00,1.025280E+00,0.000000E+00,1.848094E+04,1.428433E+03,9.536666E-01,1.102054E-01,3.378390E+04,4.060977E+03,1.743065E+00,3.133392E-01
01:30:00,3.313880E+04,2.285426E+03,1.710292E+00,1.763236E-01,3.791670E+04,1.389708E+04,1.956880E+00,1.072227E+00,5.509589E+04,1.539300E+04,2.842954E+00,1.187812E+00,7.682554E+04,3.623057E+04,3.964194E+00,2.795707E+00,8.635456E+04,5.125560E+04,4.455889E+00,3.955230E+00,1.090210E+05,5.288345E+04,5.624540E+00,4.081550E+00,1.986877E+04,0.000000E+00,1.025281E+00,0.000000E+00,1.848097E+04,1.467535E+03,9.536681E-01,1.132224E-01,3.378395E+04,4.045393E+03,1.743068E+00,3.121373E-01
01:40:00,3.313881E+04,2.253859E+03,1.710293E+00,1.738880E-01,3.791674E+04,1.386180E+04,1.956882E+00,1.069500E+00,5.509595E+04,1.533568E+04,2.842957E+00,1.183387E+00,7.682556E+04,3.612526E+04,3.964195E+00,2.787581E+00,8.635461E+04,5.114332E+04,4.455892E+00,3.946565E+00,1.090211E+05,5.274615E+04,5.624544E+00,4.070945E+00,1.986878E+04,0.000000E+00,1.025281E+00,0.000000E+00,1.848099E+04,1.503501E+03,9.536696E-01,1.159974E-01,3.378400E+04,4.029471E+03,1.743070E+00,3.109091E-01
